1539#0	المِرِّيخ كما يُعرف باسم الكوكب الأحمر هو الكوكب الرابع من حيث البعد عن الشمس في النظام الشمسي وهو الجار الخارجي للأرض ويصنف كوكبا صخريا، من مجموعة الكواكب الأرضية (الشبيهة بالأرض).
1539#1	أطلق عليه بالعربية "المريخ" اسم مشتق من كلمة "أمرخ" أي ذو البقع الحمراء، فيقال ثور أَمرخ أي به بقع حمراء، وهو باللاتينية مارس الذي اتخذه الرومان إلهً للحرب، وهو يلقب في الوقت الحالي بالكوكب الأحمر بسبب لونه المائل إلى الحمرة بفعل نسبة غبار أكسيد الحديد الثلاثي العالية على سطحه وفي جوه.
1539#2	يبلغ قطر المريخ حوالي 6800 كلم وهو بذلك مساو لنصف قطر الأرض وثاني أصغر كواكب النظام الشمسي بعد عطارد. تقدّر مساحته بربع مساحة الأرض. يدور المريخ حول الشمس في مدار يبعد عنها بمعدل 228 مليون كلم تقريبا، أي 1.5 مرات من المسافة الفاصلة بين مدار الأرض والشمس.
1539#3	له قمران، يسمّى الأول ديموس أي الرعب باللغة اليونانية والثاني فوبوس أي الخوف.
1539#4	يعتقد العلماء أن كوكب المريخ احتوى الماء قبل 3.8 مليار سنة، مما يجعل فرضية وجود حياة عليه متداولة نظريا على الأقل. به جبال أعلى من مثيلاتها الأرضية ووديان ممتدة. وبه أكبر بركان في المجموعة الشمسية يطلق عليه اسم أوليمبس مونز تيمنا بجبل الأولمب.
1539#5	تبلغ درجة حرارته العليا 27 درجة مئوية ودرجة حرارته الصغرى -133 درجة مئوية. ويتكون غلافه الجوي من ثاني أكسيد الكربون والنيتروجين والأرغون وبخار الماء وغازات أخرى. رمز المريخ الفلكي هو ♂.يجذب الانتباه بلونه الأحمر
1539#6	قد يكون المريخ وفقا لدراسة عالمين أمريكيين مجرد كوكب جنين لم يستطع أن يتم نموه، بعد أن نجا من الاصطدامات الكثيرة بين الأجرام السماوية التي شهدها النظام الشمسي في بداية تكوينه والتي أدت لتضخم أغلب الكواكب الأخرى. وهذا يفسر صغر حجم المريخ مقارنة بالأرض أو بالزهرة. خلص العالمان إلى هذه النتيجة بعد دراسة استقصائية لنواتج الاضمحلال المشعة في النيازك.[1]
1539#7	يستضيف المريخ حالياً 5 مركبات فضائية لا تزال تعمل، ثلاث في مدار حول الكوكب وهم مارس أوديسي ومارس إكسبريس ومارس ريكونيسانس أوربيتر، واثنتان على سطح الكوكب وهما كيوريوسيتي روفر وأبورتيونيتي، كما أن هناك مركبات فضائية لم تعد تعمل سواء كانت مهمتها ناجحة أم لا مثل مركبة فينيكس لاندر التي أنهت مهمتها عام 2008.[2]
1539#8	مقارنة بكوكب الأرض، للمريخ ربع مساحة وكتلة تعادل عُشر كتلة . هواء المريخ لا يتمتع بنفس كثافة هواء الأرض إذ يبلغ الضغط الجوي على سطح المريخ 0.75% من معدّل الضغط الجوي على الأرض، لذا نرى ان المجسّات الآلية التي قامت وكالة الفضاء الأمريكية بإرسالها لكوكب المريخ، تُغلّف بكُرةِ هوائية لامتصاص الصدمة عند الارتطام بسطح كوكب المريخ. يتكون هواء المريخ من 95% ثنائي أكسيد الكربون، 3% نيتروجين، 1.6% ، وجزء بسيط من الأكسجين والماء. وفي العام 2000، توصّل الباحثون لنتائج توحي بوجود حياة على كوكب المريخ بعد معاينة قطع من نيزك عثر عليه في القارة المتجمدة الجنوبية وتم تحديد أصله من كوكب المريخ نتيجة مقارنة تكوينه المعدني وتكوين الصخور التي تمت معاينتها من المركبات فيكينغ 1 و2، حيث استدلّ الباحثون على وجود أحافير مجهرية في النيزك. ولكن تبقى الفرضية آنفة الذكر مثاراً للجدل دون التوصل إلى نتيجة أكيدة بوجود حياة في الماضي على كوكب المريخ.
1539#9	ويعتبر المريخ كوكب صخري ومعظم سطحه أحمر إلا بعض البقع الأغمق لوناً بسبب تربته وصخوره والغلاف الجوي لكوكب المريخ قليل الكثافة ويتكون أساساً من ثاني أكسيد الكربون وكميات قليلة من بخار الماء والضغط الجوي على المريخ منخفض جدًا ويصل إلى 0.01 من الضغط الجوي وجو المريخ ابرد من الأرض والسنة على المريخ 687 يوماً ارضياً.
